Appelation,Parker,Robinson,Suckling,Prix
Pessac-Léognan,94.0,94.0,94.0,235.0
Saint-Emilion,None,None,None,16.0
Saint-Emilion,None,16.5,16.5,66.0
Margaux,85.0,85.0,85.0,47.0
Saint-Estèphe,92.0,92.0,92.0,62.0
Pauillac,97.0,97.0,97.0,98.0
Saint-Emilion,91.0,91.0,91.0,24.5
Saint-Emilion,89.0,89.0,89.0,93.0
Haut-Médoc,None,None,88.5,16.5
Pomerol,86.0,86.0,86.0,38.0
Pauillac,92.0,92.0,92.0,54.0
Saint-Emilion,91.0,91.0,91.0,249.0
Moulis,90.0,90.0,90.0,29.33
Canon-Fronsac,91.0,None,91.0,22.83
Puisseguin-Saint-Emilion,88.0,None,88.0,51.67
Margaux,90.0,90.0,90.0,30.17
Margaux,92.0,92.0,92.0,45.0
Pessac-Léognan,92.0,92.0,92.0,33.0
Pessac-Léognan,88.0,None,88.0,22.33
Pessac-Léognan,92.0,92.0,92.0,34.33
Barsac,94.0,94.0,None,124.83
Pauillac,91.0,91.0,91.0,65.0
Moulis,90.0,90.0,90.0,25.0
Pauillac,92.0,None,92.0,51.17
Saint-Emilion,None,None,None,19.92
Barsac,94.0,94.0,94.0,46.0
Pauillac,97.0,97.0,97.0,850.0
Listrac,91.0,91.0,91.0,18.0
Pessac-Léognan,91.0,None,91.0,26.0
Pessac-Léognan,93.0,93.0,93.0,97.0
Saint-Emilion,98.0,98.0,98.0,395.0
Pomerol,91.0,None,91.0,31.0
Saint-Julien,93.5,93.5,93.5,48.0
Médoc,88.0,None,88.0,20.0
Saint-Emilion,None,None,None,21.5
Pomerol,89.0,89.0,89.0,57.0
Sauternes,91.0,None,91.0,24.0
Médoc,90.0,90.0,90.0,35.33
Pessac-Léognan,95.0,None,95.0,30.5
Margaux,96.0,96.0,96.0,133.0
Saint-Emilion,92.0,92.0,92.0,38.0
Margaux,None,16.5,16.5,38.0
Pauillac,94.0,94.0,94.0,75.0
Margaux,97.0,97.0,97.0,399.0
Saint-Emilion,95.0,95.0,95.0,140.0
Saint-Emilion,90.0,90.0,90.0,41.0
Saint-Estèphe,92.0,92.0,92.0,29.0
Pessac-Léognan,100.0,100.0,100.0,890.0
Saint-Julien,None,None,None,28.0
Pauillac,92.0,92.0,92.0,109.0
Pessac-Léognan,None,16.0,16.0,33.0
Saint-Julien,94.0,94.0,94.0,137.5
Saint-Estèphe,90.0,90.0,90.0,32.0
Haut-Médoc,91.0,91.0,91.0,36.83
Saint-Emilion,92.0,92.0,92.0,36.0
Pessac-Léognan,97.0,97.0,97.0,640.0
Pessac-Léognan,90.0,None,90.0,24.0
Saint-Emilion,91.0,91.0,91.0,54.0
Saint-Emilion,87.0,87.0,87.0,46.0
Saint-Emilion,None,16.5,16.5,34.0
Saint-Emilion,None,None,None,119.4
Pauillac,97.0,97.0,97.0,270.0
Pomerol,95.0,95.0,95.0,120.0
Pauillac,94.0,94.0,94.0,106.0
Pauillac,98.0,98.0,98.0,208.5
Saint-Julien,94.0,None,94.0,47.0
Saint-Emilion,92.0,92.0,92.0,99.0
Saint-Emilion,89.0,None,89.0,32.0
Pauillac,90.0,90.0,None,31.0
Haut-Médoc,None,None,91.0,15.08
Haut-Médoc,82.0,82.0,82.0,32.0
Saint-Emilion,93.0,93.0,93.0,40.0
Margaux,97.0,97.0,97.0,450.0
Canon-Fronsac,90.0,None,90.0,21.0
Saint-Estèphe,90.5,90.5,90.5,24.5
Saint-Julien,93.0,93.0,93.0,46.0
Pauillac,94.0,94.0,94.0,95.0
Castillon Côtes de Bordeaux,91.0,91.0,91.0,25.5
Margaux,89.0,89.0,89.0,50.0
Saint-Emilion,84.0,None,84.0,39.0
Pomerol,89.0,89.0,89.0,69.83
Pessac-Léognan,89.0,89.0,None,29.5
Saint-Julien,94.0,94.0,94.0,83.0
Sauternes,93.0,None,None,69.58
Saint-Emilion,94.0,94.0,94.0,136.0
Pomerol,89.0,None,89.0,29.0
Pessac-Léognan,96.0,96.0,96.0,162.17
Pauillac,88.0,88.0,88.0,43.67
Saint-Emilion,None,16.5,16.5,37.42
Margaux,None,16.0,16.0,40.0
Haut-Médoc,90.0,90.0,90.0,22.0
Saint-Emilion,95.0,95.0,95.0,105.0
Pessac-Léognan,88.0,None,88.0,103.2
Saint-Estèphe,90.0,90.0,90.0,29.0
Pauillac,92.0,92.0,92.0,193.5
Pessac-Léognan,91.0,91.0,91.0,28.83
Saint-Emilion,93.0,93.0,93.0,85.0
Pessac-Léognan,91.0,None,91.0,37.42
Médoc,90.0,90.0,90.0,30.58
Saint-Emilion,95.0,95.0,95.0,103.67
Pauillac,93.0,93.0,93.0,143.0
Pauillac,93.0,93.0,93.0,61.0
Saint-Julien,95.0,95.0,95.0,289.0
Sauternes,93.0,93.0,93.0,55.0
Saint-Julien,94.0,94.0,94.0,78.0
Margaux,94.0,94.0,94.0,48.0
Pessac-Léognan,95.0,95.0,95.0,335.0
Margaux,90.0,None,90.0,25.0
Saint-Emilion,92.0,92.0,92.0,34.33
Saint-Emilion,94.0,94.0,94.0,72.0
Pessac-Léognan,92.0,None,92.0,23.42
Saint-Emilion,92.0,None,92.0,69.0
Pomerol,90.0,None,90.0,35.0
Lalande de Pomerol,91.0,91.0,91.0,122.0
Pessac-Léognan,92.0,92.0,92.0,41.0
Saint-Emilion,92.0,92.0,92.0,132.0
Margaux,94.0,None,94.0,49.0
Margaux,94.0,94.0,94.0,64.83
Saint-Emilion,94.0,94.0,94.0,415.0
Pauillac,91.0,91.0,91.0,58.0
Pessac-Léognan,None,16.0,16.0,30.0
Saint-Emilion,89.0,None,89.0,18.0
Margaux,None,None,None,20.83
Pauillac,90.0,90.0,None,25.0
Saint-Julien,91.0,91.0,91.0,186.0
Saint-Estèphe,95.5,95.5,95.5,166.0
Saint-Estèphe,91.0,91.0,91.0,44.0
Saint-Julien,None,16.0,16.0,30.0
Castillon Côtes de Bordeaux,90.0,90.0,90.0,17.0
Margaux,95.0,95.0,95.0,60.0
Pauillac,None,16.0,None,48.0
Pessac-Léognan,92.0,92.0,92.0,175.0
Pomerol,89.0,None,None,36.0
Pessac-Léognan,91.0,91.0,91.0,35.33
Saint-Emilion,92.0,92.0,92.0,40.58
Pessac-Léognan,94.0,94.0,94.0,66.0
Saint-Julien,89.0,89.0,89.0,226.8
Saint-Emilion,92.0,92.0,92.0,37.0
Saint-Emilion,96.0,None,96.0,78.0
Saint-Emilion,96.0,96.0,96.0,245.0
Pessac-Léognan,91.0,91.0,91.0,38.5
Haut-Médoc,85.0,85.0,85.0,142.8
Margaux,88.0,88.0,88.0,22.92
Pauillac,88.0,88.0,88.0,420.0
Lalande de Pomerol,91.0,None,91.0,16.5
Margaux,91.5,91.5,91.5,35.0
Margaux,95.0,95.0,None,89.0
Saint-Emilion,90.0,90.0,90.0,43.0
Haut-Médoc,None,None,None,8.0
Pomerol,92.0,92.0,92.0,75.0
Haut-Médoc,87.0,87.0,87.0,17.5
Saint-Emilion,95.0,95.0,95.0,101.67
Saint-Emilion,99.0,99.0,99.0,571.67
Saint-Julien,86.5,None,None,109.2
Pauillac,None,16.0,16.0,36.17
Pessac-Léognan,94.0,94.0,94.0,145.0
Saint-Emilion,91.0,91.0,91.0,69.0
Fronsac,90.0,90.0,90.0,22.92
Pauillac,100.0,100.0,100.0,895.0
Saint-Estèphe,97.0,97.0,97.0,165.0
Saint-Julien,96.0,96.0,96.0,116.0
Bordeaux Blancs Secs,90.0,None,90.0,90.0
Saint-Emilion,None,16.5,16.5,28.0
Pauillac,90.0,90.0,90.0,46.0
Haut-Médoc,None,None,86.0,14.5
Margaux,94.0,94.0,94.0,71.0
Saint-Emilion,93.0,93.0,93.0,37.5
Pessac-Léognan,None,15.5,15.5,159.6
Pauillac,95.0,95.0,95.0,420.0
Saint-Emilion,92.0,92.0,92.0,31.67
Pomerol,None,None,95.5,66.0
Bordeaux Blancs Secs,92.0,None,None,21.67
Pessac-Léognan,92.0,92.0,92.0,80.0
Sauternes,91.0,91.0,91.0,41.0
Margaux,95.0,95.0,95.0,64.0
Saint-Emilion,92.0,92.0,92.0,41.08
Saint-Emilion,94.0,94.0,94.0,122.0
Pomerol,84.0,84.0,84.0,80.0
Sauternes,84.0,84.0,None,32.0
Margaux,95.0,95.0,95.0,370.0
Saint-Emilion,91.0,91.0,91.0,53.0
Pessac-Léognan,85.5,85.5,85.5,19.5
Saint-Emilion,91.0,91.0,91.0,53.0
Saint-Estèphe,92.5,92.5,92.5,45.0
Saint-Emilion,None,16.5,16.5,30.0
Pauillac,96.0,96.0,96.0,120.0
Pauillac,95.0,95.0,95.0,95.0
Barsac,96.0,96.0,96.0,89.0
Saint-Julien,95.0,95.0,95.0,85.0
Moulis,83.0,83.0,83.0,28.0
Saint-Estèphe,95.0,95.0,95.0,115.0
Barsac,None,17.0,17.0,41.5
Sauternes,96.0,96.0,96.0,70.67
Pomerol,91.0,91.0,91.0,89.0
Pomerol,None,None,97.0,98.5
Saint-Estèphe,93.0,93.0,93.0,199.0
Haut-Médoc,90.5,None,90.5,130.2
Sauternes,89.0,None,89.0,23.0
Haut-Médoc,None,None,None,16.0
Saint-Emilion,91.0,91.0,91.0,67.0
Pomerol,None,None,89.0,31.0
Saint-Emilion,100.0,100.0,100.0,389.0
Pessac-Léognan,92.0,92.0,92.0,47.0
Margaux,86.0,86.0,86.0,29.0
Margaux,88.0,88.0,88.0,43.08
Saint-Julien,None,16.0,16.0,54.0
Saint-Emilion,92.0,92.0,92.0,49.0
Pomerol,91.0,91.0,91.0,87.0
Fronsac,84.0,None,84.0,19.5
Saint-Emilion,None,None,92.0,29.0
Pomerol,89.0,89.0,89.0,69.58
Pauillac,90.0,90.0,90.0,252.0
Saint-Emilion,None,None,93.0,30.0
Pauillac,90.0,None,None,33.0
Saint-Emilion,97.0,97.0,97.0,136.0
Fronsac,88.5,None,88.5,20.0
Sauternes,None,None,89.5,25.0
Margaux,91.0,91.0,91.0,57.17
Fronsac,85.0,None,85.0,24.0
Saint-Estèphe,91.0,91.0,91.0,186.0
Pauillac,97.0,97.0,97.0,192.33
Saint-Julien,None,17.0,17.0,179.0
Saint-Emilion,92.0,92.0,92.0,135.0
Haut-Médoc,89.0,89.0,89.0,60.0
Pauillac,88.0,88.0,None,113.52
Saint-Estèphe,91.0,91.0,91.0,27.83
Margaux,87.0,87.0,87.0,27.0
Pessac-Léognan,93.0,93.0,93.0,70.0
Margaux,None,16.0,16.0,31.0
Saint-Julien,91.0,91.0,91.0,52.0
Saint-Julien,93.0,93.0,93.0,342.0
Saint-Emilion,94.0,94.0,94.0,88.0
Pauillac,98.0,98.0,98.0,1050.0
Saint-Estèphe,100.0,100.0,100.0,535.0
Margaux,90.0,90.0,90.0,64.0
Pauillac,89.0,None,89.0,53.0
Pessac-Léognan,95.0,95.0,95.0,132.0
Barsac,94.0,94.0,None,103.0
Pessac-Léognan,93.0,93.0,93.0,35.5
Saint-Emilion,94.0,94.0,94.0,384.67
Saint-Estèphe,92.0,92.0,92.0,36.5
Pessac-Léognan,97.0,97.0,97.0,180.0
Saint-Emilion,90.0,90.0,90.0,32.0
Pomerol,None,None,91.5,130.2
Pomerol,90.0,None,90.0,30.0
Saint-Emilion,None,16.0,16.0,24.5
Pomerol,83.0,83.0,83.0,104.0
Saint-Emilion,91.0,91.0,91.0,79.0
Pauillac,91.0,91.0,91.0,27.0
Pauillac,87.0,None,87.0,159.6
Pomerol,91.0,91.0,91.0,43.0
Saint-Emilion,90.0,90.0,90.0,43.0
Saint-Estèphe,92.0,92.0,92.0,45.5
Saint-Julien,97.0,97.0,97.0,319.0
Sauternes,97.0,97.0,97.0,525.0
Saint-Emilion,91.0,91.0,91.0,42.0
Médoc,85.0,None,85.0,16.67
Haut-Médoc,None,None,88.5,19.83
Saint-Julien,90.0,90.0,90.0,79.0
Pessac-Léognan,92.0,None,92.0,140.4
Pomerol,81.0,81.0,81.0,27.0
Margaux,None,None,90.0,26.0
Margaux,90.0,90.0,90.0,252.0
Margaux,89.0,89.0,89.0,48.0
Pauillac,94.0,94.0,94.0,40.0
Margaux,98.0,98.0,98.0,1190.0
Haut-Médoc,None,None,92.0,21.5
Sauternes,90.0,90.0,90.0,49.0
Bordeaux Blancs Secs,None,17.0,None,22.0
Saint-Julien,94.0,94.0,94.0,109.17
Margaux,93.0,93.0,93.0,88.0
Haut-Médoc,None,16.5,None,294.0
Sauternes,95.0,95.0,95.0,75.0
Saint-Emilion,92.0,None,92.0,33.0
Graves,None,16.0,16.0,18.0
Pomerol,91.0,None,91.0,29.0
Pessac-Léognan,92.0,92.0,92.0,33.83
Saint-Julien,100.0,100.0,100.0,465.0
Saint-Estèphe,87.0,87.0,87.0,113.4
Saint-Estèphe,92.0,92.0,92.0,19.0
Fronsac,92.0,92.0,92.0,25.0
Pomerol,87.0,None,87.0,39.0
Vin de France,None,None,None,25.0
Lalande de Pomerol,None,17.0,17.0,18.5
Pomerol,94.5,94.5,94.5,86.0
Margaux,None,None,90.0,29.5
Pomerol,84.0,84.0,84.0,28.0
Canon-Fronsac,None,None,92.5,22.0
Saint-Emilion,None,16.5,16.5,325.0
Pomerol,94.0,94.0,94.0,100.83
Pauillac,94.0,94.0,94.0,69.0
Saint-Estèphe,92.0,92.0,92.0,46.0
Pomerol,94.0,94.0,94.0,135.17
Pauillac,88.0,88.0,88.0,260.0
Haut-Médoc,None,None,91.0,16.5
Margaux,None,None,89.5,20.0
Saint-Emilion,None,None,88.0,85.0
Pessac-Léognan,88.0,None,88.0,22.0
Saint-Estèphe,87.5,87.5,87.5,28.0
Margaux,None,15.0,15.0,19.5
Saint-Emilion,95.0,95.0,95.0,90.0
Saint-Emilion,97.0,97.0,97.0,519.0
Francs Côtes de Bordeaux,91.0,None,91.0,43.33
Saint-Emilion,95.0,95.0,95.0,1950.0
Moulis,89.0,89.0,89.0,21.17
Pauillac,93.0,None,93.0,56.0
Saint-Emilion,None,16.0,16.0,30.67
Pessac-Léognan,94.0,94.0,94.0,105.0
Saint-Emilion,84.0,84.0,84.0,118.8
Saint-Emilion,96.0,None,96.0,190.0
Saint-Julien,94.0,94.0,94.0,43.0
Margaux,92.0,92.0,92.0,133.0
Pauillac,91.0,91.0,91.0,48.0
Pessac-Léognan,93.0,93.0,93.0,84.83
Saint-Estèphe,92.0,92.0,92.0,24.5
Pessac-Léognan,96.0,96.0,96.0,380.0
Haut-Médoc,86.0,86.0,86.0,46.0
Pessac-Léognan,100.0,100.0,100.0,440.0
Sauternes,90.0,90.0,None,55.0
Pauillac,92.0,92.0,92.0,63.0
Pessac-Léognan,89.0,None,89.0,24.0
Pauillac,None,None,None,72.0
Saint-Emilion,93.0,93.0,93.0,47.83
Saint-Emilion,94.0,94.0,94.0,70.0
Pauillac,95.0,95.0,95.0,195.0
Pessac-Léognan,91.0,91.0,91.0,52.0
Pessac-Léognan,95.0,95.0,None,390.0
Médoc,87.0,87.0,87.0,45.0
Pomerol,92.0,92.0,92.0,99.0
Bordeaux Blancs Secs,None,None,None,27.33
Saint-Julien,None,None,89.0,25.0
Saint-Emilion,97.0,97.0,97.0,599.0
Saint-Emilion,None,None,93.0,33.83
Francs Côtes de Bordeaux,91.0,None,91.0,20.83
Saint-Emilion,90.0,90.0,90.0,40.0
Pauillac,96.0,96.0,96.0,199.0
Margaux,94.0,94.0,94.0,56.17
Pessac-Léognan,None,16.0,16.0,18.83
Saint-Julien,None,None,None,24.67
Margaux,93.0,93.0,93.0,42.0
Margaux,None,None,89.0,39.0
Pauillac,92.0,92.0,92.0,57.0
Saint-Estèphe,94.0,94.0,94.0,588.0
Margaux,91.0,91.0,91.0,76.0
Saint-Emilion,89.0,None,89.0,62.0
Pauillac,97.0,97.0,97.0,399.0
Castillon Côtes de Bordeaux,92.0,92.0,92.0,23.5
Pessac-Léognan,91.0,None,91.0,22.67
Saint-Emilion,91.0,91.0,91.0,89.0
Saint-Emilion,93.0,93.0,93.0,42.0
Pauillac,100.0,100.0,100.0,275.0
Pauillac,None,15.5,None,26.0
Margaux,89.0,None,89.0,24.5
Saint-Julien,94.0,94.0,94.0,86.0
Margaux,92.0,92.0,92.0,43.0
Haut-Médoc,None,14.5,14.5,17.17
Saint-Emilion,None,16.0,16.0,28.67
Saint-Julien,None,16.5,16.5,408.0
Pomerol,91.0,91.0,91.0,111.33
Lalande de Pomerol,87.0,None,87.0,17.17
Sauternes,80.0,80.0,None,37.0
Sauternes,83.0,None,None,20.0
Pessac-Léognan,90.0,90.0,None,168.0
Pomerol,90.0,90.0,90.0,53.0
Margaux,93.0,93.0,93.0,49.92
Haut-Médoc,90.0,None,90.0,18.67
Saint-Emilion,97.0,97.0,97.0,490.0
Saint-Julien,91.0,91.0,91.0,49.0
Saint-Emilion,91.0,91.0,91.0,36.0
Sauternes,89.0,89.0,None,44.0
Saint-Emilion,91.0,None,91.0,41.0
Bordeaux,None,17.0,None,20.0
Bordeaux Blancs Secs,None,17.0,None,145.0
Saint-Estèphe,None,None,None,21.0
Haut-Médoc,None,15.5,15.5,19.0
Margaux,94.0,94.0,94.0,252.0
Pomerol,91.0,None,91.0,66.0
Pessac-Léognan,96.0,96.0,96.0,179.0
Saint-Estèphe,91.0,91.0,91.0,51.0
Saint-Estèphe,91.0,91.0,91.0,165.0
Margaux,95.0,95.0,95.0,620.0
Saint-Emilion,94.0,94.0,94.0,55.0
Saint-Julien,93.0,93.0,93.0,109.0
Pessac-Léognan,99.0,99.0,99.0,875.0
Saint-Estèphe,94.0,94.0,94.0,428.4
Saint-Emilion,96.0,96.0,96.0,119.0
Saint-Emilion,None,16.5,16.5,26.17
Saint-Estèphe,94.0,94.0,94.0,594.0
Montagne-Saint-Emilion,None,None,89.0,21.83
Pomerol,92.0,92.0,92.0,99.0
Saint-Emilion,None,None,89.0,16.0
Saint-Julien,93.0,93.0,None,299.52
Saint-Julien,93.0,93.0,93.0,65.0
Bordeaux Supérieur,None,None,90.5,5.42
Pomerol,91.0,91.0,91.0,53.0
Pauillac,92.5,92.5,92.5,50.5
Pessac-Léognan,90.0,90.0,90.0,36.33
Bordeaux,None,None,None,20.0
Pauillac,89.5,None,89.5,36.67
Pauillac,95.0,95.0,95.0,99.0
Saint-Estèphe,87.0,87.0,87.0,39.33
Sauternes,99.0,99.0,99.0,550.0
Sauternes,90.0,90.0,90.0,77.0
Bordeaux Blancs Secs,None,None,None,62.0
Saint-Emilion,89.0,89.0,89.0,39.0
Haut-Médoc,90.0,90.0,90.0,19.5
Saint-Emilion,94.0,94.0,94.0,215.0
Pomerol,93.0,93.0,93.0,79.0
Saint-Emilion,91.0,91.0,91.0,47.0
Saint-Julien,92.0,92.0,92.0,106.0
Moulis,None,15.5,15.5,32.5
Saint-Emilion,None,15.0,15.0,37.0
Saint-Julien,95.0,95.0,95.0,199.0
Saint-Estèphe,87.0,None,87.0,168.0
Vin de France,None,None,None,20.5
Saint-Emilion,None,None,92.0,26.0
Saint-Julien,89.0,89.0,89.0,142.8
Margaux,93.0,93.0,93.0,60.0
Saint-Emilion,88.0,None,None,30.0
Saint-Julien,90.0,90.0,90.0,336.0
Bordeaux Blancs Secs,None,16.0,16.0,159.0
Bordeaux Blancs Secs,None,None,None,20.67
Pomerol,None,None,92.5,35.0
Pomerol,None,None,93.5,27.0
Sauternes,93.0,93.0,93.0,49.33
Pessac-Léognan,94.0,94.0,94.0,118.0
Barsac,95.0,95.0,95.0,44.0
Saint-Emilion,91.0,None,91.0,30.0
Médoc,89.0,89.0,89.0,33.33
Saint-Emilion,91.0,91.0,91.0,47.0
Margaux,87.0,87.0,87.0,29.0
Saint-Emilion,97.0,97.0,97.0,245.0
Saint-Emilion,93.0,93.0,93.0,101.0
Pessac-Léognan,90.0,None,90.0,19.0
Sauternes,95.0,95.0,95.0,133.0
Saint-Emilion,97.0,97.0,97.0,125.0
Pessac-Léognan,95.0,95.0,95.0,289.0
Pessac-Léognan,97.0,97.0,97.0,195.0
Saint-Emilion,94.0,94.0,94.0,50.0
Margaux,94.0,94.0,94.0,58.0
Pomerol,92.0,92.0,92.0,54.92
Saint-Estèphe,92.0,92.0,92.0,70.0
Moulis,87.0,87.0,87.0,125.4
Saint-Emilion,93.0,None,93.0,46.83
Pauillac,97.0,97.0,97.0,219.0
Saint-Emilion,94.0,94.0,94.0,388.0
Pomerol,92.0,None,92.0,78.0
Sauternes,97.0,97.0,97.0,505.0
Montagne-Saint-Emilion,88.0,88.0,88.0,33.5
Vin de France,None,None,None,25.0
Pomerol,93.0,93.0,93.0,99.0
Saint-Emilion,95.0,95.0,95.0,444.0
Margaux,96.0,96.0,96.0,524.17
Haut-Médoc,84.0,84.0,84.0,15.5
Saint-Estèphe,89.0,89.0,None,26.25
Margaux,93.0,93.0,93.0,68.0
Saint-Emilion,100.0,100.0,100.0,170.0
Pessac-Léognan,92.0,None,92.0,23.0
Fronsac,90.0,None,90.0,12.0
Saint-Emilion,94.0,94.0,94.0,78.67
Sauternes,88.0,88.0,None,39.0
Saint-Estèphe,91.0,91.0,91.0,40.0
Margaux,None,16.5,16.5,54.33
Haut-Médoc,None,15.5,15.5,35.92
Barsac,94.0,94.0,94.0,39.0
Saint-Emilion,None,None,95.0,49.67
Saint-Emilion,None,14.0,14.0,39.0
Pauillac,92.0,92.0,92.0,53.0
Saint-Julien,None,None,90.0,32.25
Saint-Julien,92.0,None,92.0,630.0
Saint-Emilion,91.0,91.0,91.0,32.0
Saint-Emilion,89.0,89.0,89.0,38.0
Margaux,99.0,99.0,99.0,990.0
Sauternes,None,None,None,30.0
Saint-Emilion,94.0,94.0,94.0,145.0
Saint-Emilion,95.0,95.0,95.0,110.0
Margaux,93.0,93.0,93.0,55.0
Médoc,91.0,91.0,91.0,37.42
Pomerol,None,None,92.0,48.0
Saint-Julien,98.0,98.0,98.0,475.0
Saint-Estèphe,None,None,None,1050.0
Saint-Julien,92.0,92.0,92.0,55.83
Margaux,None,15.5,15.5,65.0
Saint-Emilion,98.0,98.0,98.0,475.0
Pomerol,94.0,94.0,94.0,129.0
Saint-Emilion,91.0,91.0,91.0,24.5
Margaux,92.0,92.0,92.0,48.0
Barsac,92.0,92.0,None,59.0
Saint-Emilion,92.0,None,92.0,29.0
Margaux,93.0,93.0,93.0,177.0
Saint-Estèphe,95.0,95.0,95.0,186.0
Saint-Emilion,86.0,None,86.0,35.0
Saint-Emilion,96.0,96.0,96.0,199.0
Pomerol,None,None,90.5,58.0
Saint-Emilion,93.0,None,93.0,129.0
Sauternes,95.0,95.0,95.0,79.0
Margaux,None,16.0,None,147.0
Sauternes,91.0,None,91.0,25.0
Saint-Emilion,92.0,92.0,92.0,63.0
Saint-Estèphe,91.0,91.0,91.0,45.08
Pessac-Léognan,95.0,95.0,95.0,262.0
Pauillac,96.0,96.0,96.0,880.0
Pauillac,96.0,96.0,96.0,152.33
Saint-Julien,90.0,None,90.0,193.2
Haut-Médoc,87.0,87.0,87.0,34.0
Saint-Emilion,94.0,94.0,94.0,504.0
Pomerol,88.0,None,88.0,95.0
Barsac,96.0,96.0,96.0,45.0
Margaux,98.0,98.0,98.0,1110.0
Saint-Emilion,None,None,89.5,24.0
Pauillac,91.0,91.0,91.0,52.0
Graves,89.0,89.0,89.0,17.5
Sauternes,87.0,87.0,87.0,70.0
Saint-Emilion,87.0,87.0,87.0,52.0
Saint-Emilion,90.0,None,90.0,53.0
Castillon Côtes de Bordeaux,92.0,92.0,None,22.33
Saint-Estèphe,None,None,89.5,19.0
Saint-Emilion,89.0,89.0,89.0,252.0
Saint-Emilion,90.0,90.0,90.0,87.0
Saint-Julien,93.0,93.0,93.0,186.0
Saint-Emilion,90.0,90.0,90.0,35.0
Saint-Emilion,None,15.5,None,22.67
Saint-Julien,94.0,94.0,94.0,677.4
Bordeaux Blancs Secs,None,None,None,14.0
Saint-Emilion,98.0,98.0,98.0,761.67
Saint-Emilion,94.0,94.0,94.0,72.0
Saint-Emilion,95.0,95.0,95.0,103.0
Saint-Julien,87.0,87.0,None,109.5
Saint-Emilion,None,None,94.5,51.0
Margaux,88.5,88.5,88.5,22.67
Sauternes,93.0,93.0,93.0,105.0
Pauillac,90.0,90.0,90.0,46.0
Saint-Julien,None,None,None,23.0
Pessac-Léognan,92.0,92.0,92.0,49.0
Saint-Emilion,None,16.5,16.5,49.0
Haut-Médoc,None,None,92.0,22.0
Moulis,89.0,89.0,89.0,36.17
Saint-Emilion,98.0,98.0,98.0,450.0
Bordeaux Blancs Secs,88.0,None,88.0,85.0
Pomerol,95.0,None,95.0,117.5
Pessac-Léognan,95.0,95.0,95.0,132.83
Saint-Emilion,90.0,90.0,90.0,135.0
Margaux,None,16.0,None,90.0
Pomerol,95.0,95.0,95.0,270.0
Margaux,98.0,98.0,98.0,990.0
Saint-Emilion,90.0,None,None,210.0
Pauillac,88.0,88.0,88.0,195.0
Pauillac,87.0,87.0,87.0,34.0
Saint-Estèphe,91.0,91.0,91.0,100.8
Margaux,None,None,None,84.0
Saint-Emilion,94.0,94.0,94.0,140.0
Vin de France,None,None,None,25.0
Margaux,94.0,94.0,94.0,120.0
Margaux,94.0,94.0,94.0,1932.0
Saint-Emilion,92.0,92.0,92.0,86.0
Margaux,90.0,90.0,90.0,27.0
Pomerol,None,None,None,62.0
Pauillac,91.0,91.0,None,38.0
Saint-Emilion,91.0,None,91.0,42.0
Saint-Emilion,92.0,92.0,92.0,115.0
Saint-Emilion,None,16.0,16.0,30.33
